Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Espen Bjørnsen Garnås,71,CB,,190,84,Norway,Eliteserien,Lillestrøm SK
Jader,71,LM,LW,173,67,Brazil,Sudamericana,Uni. Católica
Jason Geria,71,RB,LB,184,75,Australia,A-League,Melb. Victory
Edvinas Gertmonas,71,GK,,192,92,Lithuania,SUPERLIGA,FC Univ. Cluj
Enzo Giménez,71,RM,"RW, RB",178,73,Paraguay,Libertadores,Cerro Porteño
Kamil Glik,71,CB,,190,80,Poland,PKO BP Ekstraklasa,Cracovia
Eddy Gnahoré,71,CDM,CM,188,88,France,SUPERLIGA,FC Dinamo 1948
Adnan Golubović,71,GK,,186,80,Slovenia,SUPERLIGA,FC Dinamo 1948
Claude Gonçalves,71,CM,,174,69,Portugal,PKO BP Ekstraklasa,Legia Warszawa
Hilary Gong,71,RM,"ST, RW",169,70,Nigeria,PKO BP Ekstraklasa,Widzew Łódź
Soner Gönül,71,LB,,177,73,Turkey,Trendyol Süper Lig,Samsunspor
Imanol González,71,CB,,183,84,Argentina,Libertadores,Huachipato
Claudio González,71,GK,,174,74,Chile,Sudamericana,Everton
Agustín González,71,CAM,"CM, LM",175,65,Uruguay,Libertadores,Liverpool
Urko González,71,CB,CDM,189,83,Spain,LaLiga,Real Sociedad
Jean Baptiste Gorby,71,CDM,CM,181,76,France,Liga Portugal,SC Braga
Jens Grahl,71,GK,,192,88,Germany,Bundesliga,Frankfurt
Agustín Graneros,71,ST,"RM, LM",180,70,Argentina,Sudamericana,Real Tomayapo
Simon Graves,71,RB,CB,191,78,Denmark,Eredivisie,PEC Zwolle
Ruan,71,RB,RM,170,65,Brazil,MLS,FC Dallas
Mateusz Grzybek,71,LB,RB,178,68,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Carl Gustafsson,71,CM,CDM,180,78,Sweden,Allsvenskan,Kalmar FF
Filipe Nascimento,71,CM,CDM,175,67,Portugal,PKO BP Ekstraklasa,Górnik Zabrze
Brad Guzan,71,GK,,193,94,United States,MLS,Atlanta United
Maren Haile-Selassie,71,RM,"LM, CAM, RW",176,72,Switzerland,MLS,Chicago Fire FC
Kreshnik Hajrizi,71,CB,RB,185,78,Kosovo,PKO BP Ekstraklasa,Widzew Łódź
Daniel Håkans,71,RW,"LW, LB, RM",178,70,Finland,PKO BP Ekstraklasa,Lech Poznań
Han Chan Hee,71,CM,CDM,181,75,Korea Republic,K League 1,Pohang Steelers
Marek Hanousek,71,CDM,CM,186,78,Czech Republic,PKO BP Ekstraklasa,Widzew Łódź
Cameron Harper,71,RM,"RB, LM, RW",176,71,United States,MLS,Red Bulls
Florent Hasani,71,RW,"CAM, RM",183,75,Kosovo,SUPERLIGA,FC Rapid 1923
Jakob Haugaard,71,GK,,199,87,Denmark,Eliteserien,Tromsø IL
Eirik Haugan,71,CB,,180,73,Norway,Eliteserien,Molde FK
Gustav Henriksson,71,CB,,188,80,Sweden,Allsvenskan,IF Elfsborg
Fabian Herbers,71,RM,"CM, CDM, RW",183,75,Germany,MLS,Chicago Fire FC
Andrés Hernández,71,CDM,CM,171,65,Venezuela,Sudamericana,Dep. La Guaira
Jose Herrera,71,RW,"LM, RM",172,68,Argentina,Sudamericana,Argentinos Jrs.
Dominik Hładun,71,GK,,190,77,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Jake Hollman,71,CM,"CDM, LM",180,70,Australia,A-League,Macarthur FC
Hong Yun Sang,71,LM,LW,177,68,Korea Republic,K League 1,Pohang Steelers
Henry Hore,71,LM,"CAM, CM, LW",180,67,Australia,K League 1,Gangwon FC
Lukas Hornicek,71,GK,,194,95,Czech Republic,Liga Portugal,SC Braga
Ilyes Housni,71,ST,,172,68,Morocco,Ligue 1,Paris SG
Jeroen Houwen,71,GK,,188,73,Holland,Eredivisie,RKC Waalwijk
Marian Huja,71,CB,,191,80,Portugal,SUPERLIGA,FC Petrolul
Adrien Hunou,71,ST,CM,179,70,France,Ligue 1,Angers SCO
Etzaz Hussain,71,CDM,CM,176,69,Norway,Eliteserien,Odds BK
Matías Ibáñez,71,GK,,180,75,Argentina,Sudamericana,Unión La Calera
Romario Ibarra,71,LW,"RW, LM",175,77,Ecuador,Libertadores,IDV
Wilson Ibarrola,71,LB,,172,74,Paraguay,Sudamericana,Guaraní
Gino Infantino,71,RW,"LW, CM, RM",179,74,Argentina,Serie A,Fiorentina
Manuel Insaurralde,71,CM,"CDM, RB",176,76,Argentina,Libertadores,San Lorenzo
Aleksey Isayev,71,CM,CDM,177,74,Azerbaijan,Liga Azerbaijan,Qarabağ FK
Marin Jakoliš,71,RM,"LM, RW",182,77,Croatia,A-League,Macarthur FC
Patryk Janasik,71,LB,RB,178,68,Poland,PKO BP Ekstraklasa,Cracovia
Oscar Jansson,71,GK,,187,82,Sweden,Allsvenskan,Djurgårdens IF
Erik Janža,71,LB,,175,72,Slovenia,PKO BP Ekstraklasa,Górnik Zabrze
Artur Jędrzejczyk,71,CB,,189,86,Poland,PKO BP Ekstraklasa,Legia Warszawa
James Jeggo,71,CDM,CM,178,71,Australia,A-League,Melbourne City
Jeon Byung Kwan,71,LM,"RW, RM, LW",178,72,Korea Republic,K League 1,Jeonbuk Hyundai
Jeong Sang Bin,71,ST,"RW, CAM",175,72,Korea Republic,MLS,Minnesota United
Jeong Min Ki,71,GK,,190,78,Korea Republic,K League 1,Suwon FC
Sondre Solholm Johansen,71,CB,,192,86,Norway,Eliteserien,Odds BK
Andreas Johansson,71,CB,,184,78,Sweden,Allsvenskan,Halmstads BK
Oscar Johansson,71,RM,"CM, RW",178,73,Sweden,Allsvenskan,Hammarby IF
Derrick Jones,71,CDM,"CM, CB",193,75,United States,MLS,Columbus Crew
Antoine Joujou,71,RM,"LM, RW",189,75,France,Ligue 1,Havre AC
Jakub Jugas,71,CB,,186,79,Czech Republic,PKO BP Ekstraklasa,Cracovia
Leonel Justiniano,71,CDM,"CM, RM",172,79,Bolivia,Libertadores,Bolívar
Melih Kabasakal,71,CDM,CM,178,72,Turkey,Trendyol Süper Lig,Eyüpspor
Tugay Kaçar,71,CDM,"CM, CB",187,82,Turkey,Trendyol Süper Lig,Eyüpspor
Junior Kadile,71,LM,"LW, ST",182,76,France,Eredivisie,Almere City FC
Mattias Käit,71,CM,CDM,187,76,Estonia,SUPERLIGA,FC Rapid 1923
Otar Kakabadze,71,RM,"RB, RW",186,79,Georgia,PKO BP Ekstraklasa,Cracovia
Hasan Ali Kaldırım,71,LB,,183,75,Turkey,Trendyol Süper Lig,Kayserispor
Anthony Kalik,71,CAM,CM,180,72,Australia,Liga Hrvatska,Hajduk Split
Burak Kapacak,71,RM,"RB, RW",180,71,Turkey,Trendyol Süper Lig,Fenerbahçe
Steve Kapuadi,71,CB,,196,88,France,PKO BP Ekstraklasa,Legia Warszawa
Denso Kasius,71,RB,,185,73,Holland,Eredivisie,AZ
Aléxandros Katránis,71,LB,,174,74,Greece,MLS,Real Salt Lake
Conor Kearns,71,GK,,188,76,Republic of Ireland,SSE Airtricity PD,Shelbourne
Thomas Keller,71,CB,CDM,186,82,Germany,Bundesliga,Heidenheim
Liam Kelly,71,GK,,184,85,Scotland,Scottish Prem,Rangers
Philippe Paulin Keny,71,ST,"RW, LM",190,80,Senegal,Trendyol Süper Lig,Başakşehir
Kim Dong Min,71,CB,LB,180,75,Korea Republic,K League 1,Incheon United
Kim In Kyun,71,ST,"RW, LW",174,66,Korea Republic,K League 1,Daejeon
Kim Kang Guk,71,CM,,181,72,Korea Republic,K League 1,Gangwon FC
Kim Min Duk,71,CB,RB,183,78,Korea Republic,K League 1,Gimcheon Sangmu
Kim Min Woo,71,LM,"RM, CDM, LW",172,72,Korea Republic,K League 1,Ulsan Hyundai
Kim Geon Woong,71,CB,"CM, CDM",185,81,Korea Republic,K League 1,Jeju United
Kim Young Bin,71,CB,LB,184,79,Korea Republic,K League 1,Gangwon FC
Kim Do Hyeok,71,CM,LW,173,70,Korea Republic,K League 1,Incheon United
Leon King,71,CB,,185,75,Scotland,Scottish Prem,Rangers
Eric Bugale Kitolano,71,CAM,CM,175,70,Norway,Eliteserien,Lillestrøm SK
Patryk Klimala,71,ST,,183,76,Poland,PKO BP Ekstraklasa,Śląsk Wrocław
Fredrik P. Knudsen,71,CB,,190,83,Norway,Eliteserien,SK Brann
Dimitrios Kolovetsios,71,CB,,183,77,Greece,Trendyol Süper Lig,Kayserispor
Ben Lhassine Kone,71,CM,,172,70,Côte d'Ivoire,Serie A,Como
Bartosz Kopacz,71,RB,CB,188,85,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Frans Krätzig,71,LB,CM,177,70,Germany,Bundesliga,VfB Stuttgart
Ruben Kristiansen,71,LB,CB,183,74,Norway,Eliteserien,SK Brann
Florian Krüger,71,ST,CAM,186,81,Germany,Eredivisie,FC Groningen
Kwon Hyeok Kyu,71,CDM,CM,189,75,Korea Republic,Scottish Prem,Hibernian
Lassi Lappalainen,71,LM,"LB, LW",183,76,Finland,MLS,CF Montréal
Pablo Laredo,71,CDM,RB,175,66,Bolivia,Sudamericana,Universitario
Japhet Sery Larsen,71,CB,,185,78,Denmark,Eliteserien,SK Brann
Lasure,71,LB,LM,176,72,Spain,SUPERLIGA,FC Univ. Cluj
Aleks Ławniczak,71,CB,,189,87,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Lee Ju Yong,71,LB,LM,180,78,Korea Republic,K League 1,Jeju United
Lee Yong,71,RB,RM,180,74,Korea Republic,K League 1,Suwon FC
Lee Chung Yong,71,LM,"RM, CAM, LW",180,70,Korea Republic,K League 1,Ulsan Hyundai
Lee Gi Hyeok,71,CB,"CM, RM",184,72,Korea Republic,K League 1,Gangwon FC
Lee Jin Hyun,71,CM,LM,173,70,Korea Republic,PKO BP Ekstraklasa,Puszcza
Lee Jae Ik,71,CB,LB,186,82,Korea Republic,K League 1,Jeonbuk Hyundai
Lee Sang Min,71,CB,,188,77,Korea Republic,K League 1,FC Seoul
Kelvin Leerdam,71,CB,RB,178,79,Suriname,Eredivisie,Heracles Almelo
Joaquín Lencinas,71,CB,RB,184,80,Argentina,Sudamericana,Universitario
Bryan Limbombe,71,LM,"RM, LW",172,77,Belgium,Eredivisie,Heracles Almelo
Jaylin Lindsey,71,RB,,178,88,United States,MLS,Charlotte FC
Lucas Lingman,71,CM,CAM,178,72,Finland,Finnliiga,HJK Helsinki
Enric Llansana,71,CDM,CM,183,63,Holland,Eredivisie,Go Ahead Eagles
Jasper Löffelsend,71,CDM,CM,180,75,Germany,MLS,Colorado Rapids
Niklas Lomb,71,GK,,186,83,Germany,Bundesliga,Bayer Leverkusen
Enzo Adrián López,71,ST,,181,74,Argentina,SUPERLIGA,FC Botoșani
Jonathan Lucca,71,CM,CDM,184,77,Brazil,Liga Portugal,AVS Futebol SAD
Marius Lundemo,71,CM,CDM,189,80,Norway,Eliteserien,Lillestrøm SK
Roberto Luzárraga,71,LB,CB,188,82,Ecuador,Sudamericana,Técnico U.
Luís Mata,71,LB,,180,70,Portugal,PKO BP Ekstraklasa,Zagłębie Lubin
Hugo Magallanes,71,CB,,189,86,Uruguay,Sudamericana,Racing Club
Renzo Malanca,71,CB,,185,83,Argentina,Libertadores,Huachipato
Mariusz Malec,71,CB,,190,84,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
Rubén Manjarrés,71,CM,,181,75,Colombia,Sudamericana,Alianza FC
Junior Marabel,71,ST,,182,85,Paraguay,Libertadores,Palestino
JT Marcinkowski,71,GK,,188,82,United States,MLS,SJ Earthquakes
David Martínez,71,RM,"CAM, LM, RW",178,67,Venezuela,MLS,LAFC
Jimmy Martinez,71,CM,,180,72,Chile,Libertadores,Huachipato
Miguel Ángel Martínez,71,GK,,188,79,Paraguay,Libertadores,Cerro Porteño
Luca Martínez Dupuy,71,ST,,180,77,Mexico,Libertadores,Rosario Central
Javi Martón,71,ST,,183,72,Spain,LaLiga,Athletic Club
Alexandru Mateiu,71,CDM,CM,175,74,Romania,SUPERLIGA,FC Petrolul
Mateusz Matras,71,CB,,193,88,Poland,PKO BP Ekstraklasa,Stal Mielec
Alan Matturro,71,CB,LB,189,77,Uruguay,Serie A,Genoa
Lewis Mayo,71,CB,RB,188,82,Scotland,Scottish Prem,Kilmarnock
Adrian Mazilu,71,RM,"LM, RW",180,72,Romania,Premier League,Brighton
Zac McGraw,71,CB,,193,93,Canada,MLS,Portland Timbers
Yaimar Medina,71,LB,"LW, LM",175,70,Ecuador,Libertadores,IDV
Diego Medina,71,RB,RM,174,67,Bolivia,Sudamericana,Always Ready
Mexx Meerdink,71,ST,,183,68,Holland,Eredivisie,AZ
Aaron Meijers,71,LB,,176,77,Holland,Eredivisie,RKC Waalwijk
Tim Melia,71,GK,,185,87,United States,MLS,Sporting KC
Joelson Fernandes,71,RM,"LM, RW",172,64,Portugal,Trendyol Süper Lig,Hatayspor
Claudiu Micovschi,71,RM,"LM, RW",180,72,Romania,SUPERLIGA,FC Rapid 1923
David Miculescu,71,ST,"RW, CAM",190,83,Romania,SUPERLIGA,FCSB
Michael Mieles,71,CAM,ST,162,60,Ecuador,Sudamericana,Delfín SC
Antoni Milambo,71,CAM,CM,179,65,Holland,Eredivisie,Feyenoord
Georgi Milanov,71,LW,"RW, CAM, LM",185,75,Bulgaria,SUPERLIGA,FC Dinamo 1948
Alex Millán,71,ST,,182,74,Spain,Liga Portugal,Farense
Lennon Miller,71,CM,CDM,182,72,Scotland,Scottish Prem,Motherwell
Juan José Mina,71,RB,,180,78,Colombia,Liga Portugal,Estrela Amadora
Leonardo Rocha,71,ST,,200,72,Portugal,PKO BP Ekstraklasa,Radomiak Radom
Damon Mirani,71,CB,CDM,183,76,Holland,Eredivisie,Heracles Almelo
Juan Bautista Miritello,71,ST,,182,78,Argentina,Sudamericana,Defensa
Cezary Miszta,71,GK,,192,80,Poland,Liga Portugal,Rio Ave FC
Jeyland Mitchell,71,CB,,188,82,Costa Rica,Eredivisie,Feyenoord
Bogdan Mitrea,71,CB,,185,79,Romania,SUPERLIGA,FC Univ. Cluj
Rui Mendes,71,RM,RW,179,72,Portugal,Eredivisie,FC Groningen
Lucas Monzón,71,CB,LB,184,78,Brazil,Sudamericana,Racing Club
Moon Seon Min,71,LM,LW,172,68,Korea Republic,K League 1,Jeonbuk Hyundai
Rodrigo Mora,71,CAM,"CM, LW",168,56,Portugal,Liga Portugal,FC Porto
Nicolás Morgantini,71,RB,LB,175,70,Argentina,Sudamericana,Lanús
Fabián Mosquera,71,CDM,CB,177,70,Colombia,Sudamericana,Deportes Tolima
Juan David Mosquera,71,RB,RM,180,72,Colombia,MLS,Portland Timbers
Ian Murphy,71,CB,,188,74,United States,MLS,FC Cincinnati
Alexandru Musi,71,RW,"ST, RM",180,70,Romania,SUPERLIGA,FCSB
Bahlul Mustafazada,71,CB,,190,82,Azerbaijan,Liga Azerbaijan,Qarabağ FK
Tristan Muyumba,71,CDM,CM,165,60,France,MLS,Atlanta United
Felix Horn Myhre,71,CM,RB,180,75,Norway,Eliteserien,SK Brann
Adi Nalić,71,CAM,"ST, CM",190,83,Bosnia and Herzegovina,Eredivisie,Almere City FC
Jhon Narváez,71,CB,RB,182,72,Ecuador,Sudamericana,ADT
Zé Carlos,71,RB,,172,66,Portugal,Liga Portugal,Vitória SC
Rafael Navarro,71,ST,,183,84,Brazil,MLS,Colorado Rapids
Mor Ndiaye,71,CDM,CM,185,72,Senegal,Liga Portugal,Estoril Praia
Jalen Neal,71,CB,,185,66,United States,MLS,LA Galaxy
Dragoș Nedelcu,71,CDM,"CB, CM",189,80,Romania,SUPERLIGA,Farul Constanța
Camiel Neghli,71,RM,RW,179,73,Algeria,Eredivisie,Sparta Rotterdam
Cristian Neguț,71,RM,"ST, LM, RW",176,72,Romania,SUPERLIGA,FC Hermannstadt
Jakob Nerwinski,71,RB,CB,183,79,United States,MLS,St. Louis CITY SC
Mihajlo Nešković,71,LM,"LW, CAM",177,70,Serbia,SUPERLIGA,Sepsi OSK
Francisco Ramos,71,CM,CDM,181,76,Portugal,PKO BP Ekstraklasa,Radomiak Radom
Hans Nicolussi Caviglia,71,CM,,184,79,Italy,Serie A,Venezia
Diogo Sousa,71,GK,,195,85,Portugal,Trendyol Süper Lig,Bodrum FK
Osnar Noronha,71,ST,"LW, RW",182,74,Peru,Sudamericana,UCV
Hernán Novick,71,CAM,,174,68,Uruguay,Sudamericana,Danubio
Sergio Núñez,71,ST,,175,73,Uruguay,Sudamericana,Cerro Largo
Sverre Halseth Nypan,71,CAM,"CM, ST",183,70,Norway,Eliteserien,Rosenborg BK
Dorinel Oancea,71,RB,LB,175,70,Romania,SUPERLIGA,FC Univ. Cluj
Allen Obando,71,ST,,188,79,Ecuador,Libertadores,Barcelona SC
Jordan Obita,71,LB,,180,74,England,Scottish Prem,Hibernian
Yutaro Oda,71,RM,"RW, CAM",181,70,Japan,Scottish Prem,Hearts
Mohamed Ofkir,71,LW,"RW, ST, LM",176,71,Norway,Eliteserien,HamKam Fotball
Takuya Ogiwara,71,LB,"LM, RB",175,69,Japan,Liga Hrvatska,Dinamo Zagreb
Oh Ban Suk,71,CB,,190,81,Korea Republic,K League 1,Incheon United
Aaron Olanare,71,ST,,189,82,Nigeria,Eliteserien,Molde FK
Gabriel Tigrão,71,RM,"RW, ST",182,80,Brazil,K League 1,GwangJu FC
Eric Johana Omondi,71,LM,"ST, LW",186,75,Kenya,SUPERLIGA,UTA Arad
Nicholas Opoku,71,CB,,190,78,Ghana,Trendyol Süper Lig,Kasımpaşa
Nathan Opoku,71,ST,,183,78,Ghana,Premier League,Leicester City
Fredrik Oppegård,71,LB,,175,67,Norway,Eredivisie,PSV Eindhoven
Raul Opruț,71,LB,,184,70,Romania,SUPERLIGA,FC Dinamo 1948
Jandro Orellana,71,CDM,CM,176,63,Spain,Liga Portugal,Estoril Praia
Alexander Oroz,71,RW,"LW, RM",171,64,Chile,Libertadores,Colo-Colo
Bryant Ortega,71,CDM,CM,176,66,Venezuela,Libertadores,Caracas FC
Ibrahim Osman,71,LM,"ST, LW",177,68,Ghana,Eredivisie,Feyenoord
Luciano Ospina,71,CB,,190,81,Colombia,Sudamericana,Alianza FC
Tomáš Ostrák,71,RM,"LM, CAM, RW",176,75,Czech Republic,MLS,St. Louis CITY SC
Anas Ouahim,71,CAM,CM,175,66,Morocco,A-League,Sydney FC
Owono,71,GK,,181,75,Equatorial Guinea,LaLiga,D. Alavés
Guillermo Pacheco,71,RB,,181,78,Chile,Libertadores,Cobresal
Romal Palmer,71,CM,"CAM, CDM",181,70,England,SSE Airtricity PD,St. Pats
Radovan Pankov,71,CB,,185,83,Serbia,PKO BP Ekstraklasa,Legia Warszawa
Sotirios Papagiannopoulos,71,CB,,187,88,Sweden,Allsvenskan,AIK
Park Cheol Woo,71,LB,"LM, LW",176,68,Korea Republic,K League 1,Suwon FC
David Pavelka,71,CM,CDM,185,81,Czech Republic,Česká Liga,Sparta Praha
Luis Pavia,71,RM,"CM, CAM, RW",175,67,Bolivia,Sudamericana,Nacional Potosí
Joey Pelupessy,71,CDM,CM,180,63,Holland,Eredivisie,FC Groningen
Diego Penny,71,GK,,197,85,Peru,Sudamericana,Dep. Garcilaso
Kwame Peprah,71,ST,LM,179,75,Ghana,ISL,Kerala Blasters
Dani Pereira,71,CM,CDM,175,68,Venezuela,MLS,Austin FC
Isak Pettersson,71,GK,,181,84,Sweden,Allsvenskan,IF Elfsborg
Killian Phillips,71,CM,CAM,190,85,Republic of Ireland,Scottish Prem,St. Mirren
Rodrigo Pinheiro,71,RB,,183,80,Portugal,Liga Portugal,FC Famalicão
Mihai Popescu,71,CB,,188,83,Romania,SUPERLIGA,FCSB
Albert Posiadała,71,GK,,192,78,Poland,Eliteserien,Molde FK
Virgiliu Postolachi,71,ST,RM,188,85,Moldova,SUPERLIGA,CFR 1907 Cluj
Darío Poveda,71,ST,"RM, LM",187,75,Spain,Liga Portugal,Farense
Alvas Powell,71,RB,RM,182,75,Jamaica,MLS,FC Cincinnati
Dominik Prpić,71,CB,,188,78,Croatia,Liga Hrvatska,Hajduk Split
Christophe Psyché,71,CB,,186,85,France,Eliteserien,Tromsø IL
Arkadiusz Pyrka,71,RB,RM,177,72,Poland,PKO BP Ekstraklasa,Piast Gliwice
Joshué Quiñonez,71,CB,,183,76,Ecuador,Sudamericana,U. Católica
Wilson Quiñónez,71,GK,,187,86,Paraguay,Sudamericana,S. Trinidense
Diego Ramírez,71,CAM,CM,175,72,Peru,Sudamericana,Dep. Garcilaso
Lilian Raolisoa,71,RB,RM,178,70,France,Ligue 1,Angers SCO
Damian Rasak,71,CDM,,184,77,Poland,PKO BP Ekstraklasa,Górnik Zabrze
Robin Rasch,71,CDM,CM,183,76,Norway,Eliteserien,KFUM-Kameratene
Djorkaeff Reasco,71,ST,CAM,172,75,Ecuador,Libertadores,Barcelona SC
Constantin Reiner,71,CB,,196,92,Austria,PKO BP Ekstraklasa,Piast Gliwice
Hernán Rengifo,71,ST,,183,77,Peru,Sudamericana,ADT
Stije Resink,71,CM,CDM,179,74,Holland,Eredivisie,Almere City FC
Søren Rieks,71,LM,LW,185,76,Denmark,Allsvenskan,Malmö FF
Juan Rivero,71,LW,"LM, RW",177,73,Uruguay,Sudamericana,Racing Club
Marcos Riveros,71,CM,CDM,179,69,Paraguay,Sudamericana,S. Trinidense
Paul Riveros,71,CB,,185,78,Paraguay,Sudamericana,Guaraní
Daniel Rivillo,71,RB,,179,71,Venezuela,Libertadores,Caracas FC
Matej Rodin,71,CB,,195,80,Croatia,PKO BP Ekstraklasa,Raków
Hernandes,71,ST,RW,183,75,Brazil,K League 1,Jeonbuk Hyundai
Tiago Dias,71,RM,"LM, RW",175,65,Portugal,Liga Portugal,Casa Pia AC
Memo Rodriguez,71,LM,"CM, RM, LW",173,65,United States,MLS,Sporting KC
Lucas Rodríguez,71,CDM,CM,170,62,Uruguay,Sudamericana,Racing Club
Robin Roefs,71,GK,,192,72,Holland,Eredivisie,N.E.C. Nijmegen
Ole Romeny,71,RM,"LM, RW",185,81,Holland,Eredivisie,FC Utrecht
Max Rosenfelder,71,CB,,186,76,Germany,Bundesliga,SC Freiburg
Mathias Ross,71,CB,,190,80,Denmark,Česká Liga,Sparta Praha
Baptiste Roux,71,CB,"CDM, CM",190,79,France,Liga Portugal,AVS Futebol SAD
Milan Rundić,71,CB,,188,80,Serbia,PKO BP Ekstraklasa,Raków
Espen Ruud,71,RB,,182,76,Norway,Eliteserien,Odds BK
Noah Wail Jacob Sadaoui,71,LM,"ST, RW, LW",180,78,Morocco,ISL,Kerala Blasters
Richie Sagrado,71,RM,"RB, LB, RW",183,79,Belgium,Serie A,Venezia
Lars-Jørgen Salvesen,71,ST,,186,82,Norway,Eliteserien,Viking FK
Nicolas Samayoa,71,CB,,185,79,Guatemala,SUPERLIGA,Politehnica Iași
Jordán Santacruz,71,CDM,CM,177,74,Paraguay,Sudamericana,Club Nacional
Cristian Săpunaru,71,CB,,187,81,Romania,SUPERLIGA,FC Rapid 1923
Marco Saravia,71,CB,,186,87,Peru,Libertadores,Universitario
Bogdan Sarnavskyi,71,GK,,187,78,Ukraine,PKO BP Ekstraklasa,Lechia Gdańsk
Giannis Satsias,71,CM,CDM,181,70,Cyprus,Liga Cyprus,APOEL FC
Leo Sauer,71,LW,"CAM, LM",183,73,Slovakia,Eredivisie,NAC Breda
Gökhan Sazdağı,71,RB,"ST, LM",179,72,Turkey,Trendyol Süper Lig,Kayserispor
Erik Schouten,71,CB,,182,73,Holland,Eredivisie,Willem II
Telasco Segovia,71,CM,CDM,180,73,Venezuela,Liga Portugal,Casa Pia AC
Václav Sejk,71,ST,,180,78,Czech Republic,PKO BP Ekstraklasa,Zagłębie Lubin
Batuhan Şen,71,GK,,192,81,Turkey,Trendyol Süper Lig,Galatasaray
Jota,71,CM,,176,70,Portugal,Liga Portugal,Nacional
Cemali Sertel,71,LB,CB,186,80,Turkey,Trendyol Süper Lig,Hatayspor
Joe Shaughnessy,71,CB,,183,69,Republic of Ireland,Scottish Prem,Dundee FC
Evgeniy Shikavka,71,ST,,185,80,Belarus,PKO BP Ekstraklasa,Korona Kielce
Benjamin Siegrist,71,GK,,194,85,Switzerland,SUPERLIGA,FC Rapid 1923
Dávid Sigér,71,CM,CDM,175,70,Hungary,SUPERLIGA,Sepsi OSK
Viljami Sinisalo,71,GK,,196,78,Finland,Scottish Prem,Celtic
Sphephelo Sithole,71,CDM,CM,188,80,South Africa,Liga Portugal,Gil Vicente
Simon Skrabb,71,RW,"CAM, RM",174,75,Finland,Allsvenskan,Kalmar FF
Kyle Smith,71,RB,LB,180,82,United States,MLS,Orlando City
Franco Soldano,71,ST,"RM, CAM",180,76,Argentina,Sudamericana,Unión La Calera
Song Ju Hun,71,CB,,190,83,Korea Republic,K League 1,Jeju United
Sondre Sørli,71,RW,RM,178,67,Norway,Eliteserien,FK Bodø/Glimt
Joaquín Sosa,71,CB,LB,188,82,Uruguay,MLS,CF Montréal
Samuel Souprayen,71,CB,,187,78,France,A-League,Melbourne City
Tommy St. Jago,71,RB,CB,188,68,Holland,Eredivisie,Willem II
Michael Steinwender,71,CB,,190,77,Austria,Allsvenskan,IFK Värnamo
Daniel Stensson,71,CDM,CM,178,70,Sweden,Allsvenskan,Djurgårdens IF
Luka Stojković,71,CAM,LW,182,75,Croatia,Liga Hrvatska,Dinamo Zagreb
Mathías Suárez,71,LB,,177,67,Paraguay,Sudamericana,Sportivo Luqueño
Mathis Suray,71,CAM,ST,173,65,Belgium,Eredivisie,Go Ahead Eagles
Finn Surman,71,CB,,190,81,New Zealand,MLS,Portland Timbers
Tobias Svendsen,71,LM,"CM, LW",172,66,Norway,Eliteserien,Odds BK
Max Svensson,71,LW,"ST, LM",165,68,Sweden,Allsvenskan,Kalmar FF
Svensson,71,ST,LM,182,75,Spain,Liga Portugal,Casa Pia AC
Kajetan Szmyt,71,RW,"CAM, LW, RM",175,74,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Filip Szymczak,71,ST,"RM, LM",187,84,Poland,PKO BP Ekstraklasa,Lech Poznań
Dawid Szymonowicz,71,CB,CDM,185,77,Poland,PKO BP Ekstraklasa,Puszcza
Edvard Sandvik Tagseth,71,LB,CM,171,67,Norway,Eliteserien,Rosenborg BK
Scott Tanser,71,LB,,182,70,England,Scottish Prem,St. Mirren
Miro Tenho,71,CB,,190,82,Finland,Allsvenskan,Djurgårdens IF
Serkan Emrecan Terzi,71,LB,,176,68,Turkey,Trendyol Süper Lig,Beşiktaş
Ryan Thomas,71,CM,"CAM, CDM",174,64,New Zealand,Eredivisie,PEC Zwolle
Nigel Thomas,71,LW,"RW, LM",177,77,Holland,Liga Portugal,Nacional
Angus Thurgate,71,CDM,"CM, CAM",178,70,Australia,A-League,Western United
Mirko Tomianovic,71,RM,RW,167,64,Bolivia,Sudamericana,Real Tomayapo
Juan Pablo Torres,71,LM,"RB, LW",170,65,Colombia,Liga Colombia,Atl. Nacional
Edson Tortolero,71,RM,"CAM, ST, RW",172,72,Venezuela,Sudamericana,Carabobo FC
Mason Toye,71,ST,,191,82,United States,MLS,Portland Timbers
Anton Tsarenko,71,CAM,,162,58,Ukraine,PKO BP Ekstraklasa,Lechia Gdańsk
Blair Turgott,71,ST,LW,183,77,Jamaica,Allsvenskan,Halmstads BK
Calvin Twigt,71,CM,CDM,183,74,Holland,Eredivisie,Go Ahead Eagles
Przemysław Tytoń,71,GK,,195,88,Poland,Eredivisie,FC Twente
Steven Ugarković,71,CDM,CM,179,71,Australia,A-League,Melbourne City
Adrián Ugarriza,71,ST,RW,184,82,Peru,Sudamericana,Dep. Garcilaso
Jacob Une-Larsson,71,CB,,181,74,Sweden,Allsvenskan,Djurgårdens IF
